ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-04,Prince Edward Island,Sales and service occupations,Part-time,1934.6471
2023-01-04,Prince Edward Island,"Trades, transport and equipment operators and related occupations","Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Full-time,1934.6471
2023-01-04,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,1934.6471
2023-01-04,Prince Edward Island,Occupations in manufacturing and utilities,"Type of work, all types",1934.6471
2023-01-04,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,1934.6471
2023-01-04,Prince Edward Island,Occupations in manufacturing and utilities,Part-time,1934.6471
2023-01-04,Nova Scotia,"Total, all occupations","Type of work, all types",1934.6471
2023-01-04,Nova Scotia,"Total, all occupations",Full-time,1934.6471
2023-01-04,Nova Scotia,"Total, all occupations",Part-time,1934.6471
2023-01-04,Nova Scotia,"Business, finance and administration occupations","Type of work, all types",1934.6471
2023-01-04,Nova Scotia,"Business, finance and administration occupations",Full-time,1934.6471
2023-01-04,Nova Scotia,"Business, finance and administration occupations",Part-time,1934.6471
2023-01-04,Nova Scotia,Natural and applied sciences and related occupations,"Type of work, all types",1934.6471
2023-01-04,Nova Scotia,Natural and applied sciences and related occupations,Full-time,1934.6471
2023-01-04,Nova Scotia,Health occupations,"Type of work, all types",1934.6471
2023-01-04,Nova Scotia,Health occupations,Full-time,1934.6471
2023-01-04,Nova Scotia,Health occupations,Part-time,1934.6471
2023-01-04,Nova Scotia,"Occupations in education, law and social, community and government services","Type of work, all types",1934.6471
2023-01-04,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,1934.6471
2023-01-04,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,1934.6471
2023-01-04,Nova Scotia,Sales and service occupations,"Type of work, all types",1934.6471
2023-01-04,Nova Scotia,Sales and service occupations,Full-time,1934.6471
2023-01-04,Nova Scotia,Sales and service occupations,Part-time,1934.6471
2023-01-04,Nova Scotia,"Trades, transport and equipment operators and related occupations","Type of work, all types",1934.6471
