ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-07,Nova Scotia,Health occupations,Part-time,653.5537
2023-01-07,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,675.31757
2023-01-07,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,644.193
2023-01-07,Nova Scotia,Sales and service occupations,Full-time,642.0518
2023-01-07,Nova Scotia,Sales and service occupations,Part-time,658.816
2023-01-07,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-07,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,1024.8293
2023-01-07,Nova Scotia,"Natural resources, agriculture and related production occupations",Full-time,1047.012
2023-01-07,Nova Scotia,Occupations in manufacturing and utilities,Full-time,1019.5908
2023-01-07,New Brunswick,"Business, finance and administration occupations",Full-time,993.81195
2023-01-07,New Brunswick,"Business, finance and administration occupations",Part-time,1118.8109
2023-01-07,New Brunswick,Natural and applied sciences and related occupations,Full-time,1106.2289
2023-01-07,New Brunswick,Health occupations,Full-time,1099.336
2023-01-07,New Brunswick,Health occupations,Part-time,1057.6857
2023-01-07,New Brunswick,"Occupations in education, law and social, community and government services",Full-time,718.15314
2023-01-07,New Brunswick,Sales and service occupations,Full-time,687.80273
2023-01-07,New Brunswick,Sales and service occupations,Part-time,677.9908
2023-01-07,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,
2023-01-07,New Brunswick,"Trades, transport and equipment operators and related occupations",Part-time,718.74
2023-01-07,New Brunswick,Occupations in manufacturing and utilities,Full-time,717.8581
2023-01-07,Quebec,Legislative and senior management occupations,Full-time,717.36084
2023-01-07,Quebec,"Business, finance and administration occupations",Full-time,724.18677
2023-01-07,Quebec,"Business, finance and administration occupations",Part-time,717.5571
2023-01-07,Quebec,Natural and applied sciences and related occupations,Full-time,725.1573
2023-01-07,Quebec,Health occupations,Full-time,723.8965
2023-01-07,Quebec,Health occupations,Part-time,730.92413
2023-01-07,Quebec,"Occupations in education, law and social, community and government services",Full-time,531.1637
2023-01-07,Quebec,"Occupations in education, law and social, community and government services",Part-time,539.28564
2023-01-07,Quebec,"Occupations in art, culture, recreation and sport",Full-time,527.4929
2023-01-07,Quebec,"Occupations in art, culture, recreation and sport",Part-time,
2023-01-07,Quebec,Sales and service occupations,Full-time,651.3407
2023-01-07,Quebec,Sales and service occupations,Part-time,627.1065
2023-01-07,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,629.29767
2023-01-07,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,625.99524
2023-01-07,Quebec,"Natural resources, agriculture and related production occupations",Full-time,703.8494
