ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-04,British Columbia,Health occupations,Part-time,
2023-01-04,British Columbia,"Occupations in education, law and social, community and government services",Full-time,
2023-01-04,British Columbia,"Occupations in education, law and social, community and government services",Part-time,
2023-01-04,British Columbia,"Occupations in art, culture, recreation and sport",Full-time,676.47723
2023-01-04,British Columbia,"Occupations in art, culture, recreation and sport",Part-time,680.9218
2023-01-04,British Columbia,Sales and service occupations,Full-time,674.6457
2023-01-04,British Columbia,Sales and service occupations,Part-time,665.3083
2023-01-04,British Columbia,"Trades, transport and equipment operators and related occupations",Full-time,652.4899
2023-01-04,British Columbia,"Trades, transport and equipment operators and related occupations",Part-time,647.2575
2023-01-04,British Columbia,"Natural resources, agriculture and related production occupations",Full-time,646.5822
2023-01-04,British Columbia,Occupations in manufacturing and utilities,Full-time,647.22797
2023-01-04,Yukon,"Business, finance and administration occupations",Full-time,445.8652
2023-01-04,Yukon,"Business, finance and administration occupations",Part-time,462.44553
2023-01-04,Yukon,"Occupations in education, law and social, community and government services",Full-time,454.79782
2023-01-04,Yukon,"Trades, transport and equipment operators and related occupations",Full-time,464.00143
2023-01-04,Northwest Territories,"Business, finance and administration occupations",Full-time,469.33444
2023-01-04,Northwest Territories,Sales and service occupations,Full-time,479.17453
2023-01-04,Nunavut,Natural and applied sciences and related occupations,Full-time,
2023-01-04,Nunavut,Sales and service occupations,Full-time,
2023-01-04,Nunavut,"Trades, transport and equipment operators and related occupations",Full-time,436.2639
2023-01-07,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,458.16574
2023-01-07,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,451.0095
2023-01-07,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,
2023-01-07,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,
2023-01-07,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Part-time,
2023-01-07,Newfoundland and Labrador,Sales and service occupations,Full-time,
2023-01-07,Newfoundland and Labrador,Sales and service occupations,Part-time,
2023-01-07,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,417.80026
2023-01-07,Newfoundland and Labrador,"Natural resources, agriculture and related production occupations",Part-time,462.69016
2023-01-07,Prince Edward Island,Natural and applied sciences and related occupations,Part-time,483.22043
2023-01-07,Prince Edward Island,"Occupations in education, law and social, community and government services",Full-time,503.04587
2023-01-07,Prince Edward Island,"Occupations in education, law and social, community and government services",Part-time,505.41965
2023-01-07,Prince Edward Island,Sales and service occupations,Full-time,515.46136
2023-01-07,Prince Edward Island,Sales and service occupations,Part-time,522.5495
2023-01-07,Prince Edward Island,"Trades, transport and equipment operators and related occupations",Part-time,524.80536
2023-01-07,Prince Edward Island,"Natural resources, agriculture and related production occupations",Full-time,566.394
2023-01-07,Prince Edward Island,Occupations in manufacturing and utilities,Full-time,586.0278
2023-01-07,Nova Scotia,"Business, finance and administration occupations",Full-time,592.89813
2023-01-07,Nova Scotia,"Business, finance and administration occupations",Part-time,587.9328
2023-01-07,Nova Scotia,Natural and applied sciences and related occupations,Full-time,580.5302
2023-01-07,Nova Scotia,Health occupations,Full-time,586.1418
2023-01-07,Nova Scotia,Health occupations,Part-time,593.1523
2023-01-07,Nova Scotia,"Occupations in education, law and social, community and government services",Full-time,599.9848
2023-01-07,Nova Scotia,"Occupations in education, law and social, community and government services",Part-time,679.40985
2023-01-07,Nova Scotia,Sales and service occupations,Full-time,670.5019
2023-01-07,Nova Scotia,Sales and service occupations,Part-time,658.54974
2023-01-07,Nova Scotia,"Trades, transport and equipment operators and related occupations",Full-time,651.73553
2023-01-07,Nova Scotia,"Trades, transport and equipment operators and related occupations",Part-time,652.2663
2023-01-07,Nova Scotia,"Natural resources, agriculture and related production occupations",Full-time,652.6606
2023-01-07,Nova Scotia,Occupations in manufacturing and utilities,Full-time,
2023-01-07,New Brunswick,"Business, finance and administration occupations",Full-time,
2023-01-07,New Brunswick,"Business, finance and administration occupations",Part-time,443.21042
